iter	Passed	Remaining
774	47575	51872
775	47631	51804
776	47696	51748
777	47753	51682
778	47819	51625
779	47874	51557
780	47935	51495
781	47993	51430
782	48048	51362
783	48106	51297
784	48177	51245
785	48254	51201
786	48315	51139
787	48371	51072
788	48429	51007
789	48490	50945
790	48565	50899
791	48625	50836
792	48683	50771
793	48747	50712
794	48807	50649
795	48868	50587
796	48923	50519
797	48985	50458
798	49055	50405
799	49119	50347
800	49178	50283
801	49238	50220
802	49295	50155
803	49357	50094
804	49417	50031
805	49471	49962
806	49533	49901
807	49586	49831
808	49655	49778
809	49736	49736
810	49795	49672
811	49862	49616
812	49918	49550
813	49969	49478
814	50031	49417
815	50083	49346
816	50148	49289
817	50219	49237
818	50281	49176
819	50345	49117
820	50405	49054
821	50472	48998
822	50532	48935
823	50588	48869
824	50646	48804
825	50712	48748
826	50764	48677
827	50828	48618
828	50891	48558
829	50948	48492
830	51014	48435
831	51068	48367
832	51124	48301
833	51189	48242
834	51249	48180
835	51301	48110
836	51368	48054
837	51423	47987
838	51480	47921
839	51535	47854
840	51593	47789
841	51663	47736
842	51726	47676
843	51785	47613
844	51840	47545
845	51893	47477
846	51949	47410
847	52005	47344
848	52061	47278
849	52118	47213
850	52174	47147
851	52239	47089
852	52299	47026
853	52351	46957
854	52411	46894
855	52473	46833
856	52529	46767
857	52585	46702
858	52639	46633
859	52697	46569
860	52750	46501
861	52810	46438
862	52866	46373
863	52931	46315
864	52990	46251
865	53059	46197
866	53130	46144
867	53187	46079
868	53251	46020
869	53303	45951
870	53373	45897
871	53425	45828
872	53483	45764
873	53537	45696
874	53594	45631
875	53661	45575
876	53722	45514
877	53783	45452
878	53848	45394
879	53902	45327
880	53973	45273
881	54039	45216
882	54098	45153
883	54161	45093
884	54224	45034
885	54288	44974
886	54347	44911
887	54403	44846
888	54466	44786
889	54523	44721
890	54581	44657
891	54655	44606
892	54710	44540
893	54781	44486
894	54842	44425
895	54898	44360
896	54960	44299
897	55015	44232
898	55072	44168
899	55126	44101
900	55189	44041
901	55255	43983
902	55314	43921
903	55392	43872
904	55447	43806
905	55503	43741
906	55569	43683
907	55626	43619
908	55683	43554
909	55741	43490
910	55807	43433
911	55861	43366
912	55928	43309
913	55987	43246
914	56042	43180
915	56102	43118
916	56169	43060
917	56230	42999
918	56284	42933
919	56339	42866
920	56391	42798
921	56444	42731
922	56506	42670
923	56561	42604
924	56629	42548
925	56685	42483
926	56752	42426
927	56810	42363
928	56867	42298
929	56934	42241
930	56991	42177
931	57052	42116
932	57118	42058
933	57177	41995
934	57255	41946
935	57314	41883
936	57366	41815
937	57434	41759
938	57492	41696
939	57548	41631
940	57616	41574
941	57671	41508
942	57735	41449
